user_id,question_id,Probability,TradeWeightBasedonCreationTime,UserweightBasedOnPastAccuracy,settled_value
10160,465,0.97076416,0.630685003,0.976451175,1
8,649,0.90999997,0.528320185,0.90000004,1
10160,357,0.9927141,0.439467316,0.9927141,1
10160,428,0.014663798,0.362475072,0.97076416,0
10160,376,0.0001,0.31380469,0.9999,0
14,76,0.45,0.009999988,0.970468007,0
426,103,0.35000002,0.01561449,0.64999998,0
4,9,0.6,0.011450261,0.647087616,1
10540,452,0.22,0.794536491,0.485143976,1
2113,417,0.27,0.034954004,0.719983325,0
37,76,0.42,0.010114333,0.58,0
36,52,0.66,0.020307311,0.808571411,1
36,78,0.5903924,0.009999566,0.733125011,1
39,52,0.48596877,0.020307311,0.48596877,1
36,51,0.72,0.020307311,0.808571411,0
85,103,0.42000002,0.01561449,0.720999999,0
85,103,0.48,0.01561449,0.720999999,0
47,78,0.69999987,0.009999566,0.797499935,1
47,52,0.58000004,0.020307311,0.58000004,1
45,52,0.53718174,0.020307311,0.815792934,1
1000,157,0.033284195,0.265770626,0.648210527,0
85,341,0.20000005,0.087432718,0.98000006,0
420,128,0.18076429,0.012558782,0.81923571,0
48,77,0.84753686,0.009999523,0.783250775,1
8935,529,0.71,0.041240146,0.18999994,0
85,341,0.28000003,0.087432718,0.98000006,0
48,76,0.61999995,0.010114333,0.41500005,0
48,52,0.6763327,0.020307311,0.6763327,1
49,52,0.52,0.020307311,0.444999975,1
47,17,0.4,0.01747402,0.6,0
45,13,0.9,0.011979018,0.660541474,1
51,13,0.96000004,0.011979018,0.96000004,1
1013,61,0.64,0.285862817,0.36,0
60,5,0.5,0.010865049,0.5,0
60,84,0.6,0.009999988,0.57182109,0
48,78,0.5903924,0.009999566,0.654678525,1
1205,155,0.6515753,0.193008873,0.6515753,1
856,331,0.6534499,0.013562436,0.589365668,1
372,598,0.2903226,0.397949699,0.688172022,0
2299,677,0.11764707,0.081094307,0.618789245,0
1239,407,0.4,0.017983512,0.468851282,1
64,84,0.4254274,0.009999988,0.5745726,0
789,102,0.78155077,0.01561449,0.21844923,0
45,103,0.41287112,0.009999988,0.764666665,0
1239,154,0.63,0.034344363,0.577702554,1
62,17,0.33103186,0.01747402,0.66896814,0
45,447,0.29000002,0.783813742,0.815792934,1
45,452,0.33,0.794536491,0.682896467,1
25,17,0.10000001,0.01747402,0.89999999,0
372,610,0.59,0.488327828,0.859999998,0
372,610,0.75,0.488327828,0.859999998,0
856,357,0.51637715,0.010314921,0.589365668,1
79,102,0.4,0.009999988,0.640113135,0
79,103,0.31977373,0.009999988,0.640113135,0
372,610,0.79,0.488327828,0.859999998,0
372,610,0.8,0.488327828,0.859999998,0
2283,610,0.78,0.513962451,0.844999995,0
2315,747,0.20408164,0.021100128,0.74999997,0
1208,127,0.21907887,0.028858178,0.78092113,0
8935,610,0.71,0.513962451,0.784525399,0
8935,610,0.71999997,0.698635903,0.784525399,0
89,103,0.2049434,0.009999988,0.7589292,0
796,459,0.4939764,0.009999983,0.811917166,0
85,52,0.57,0.024241949,0.652727311,1
856,61,0.64,0.209049644,0.6020351,0
14,610,0.7770368,0.698635903,0.815414846,0
1239,396,0.18,0.019305529,0.925781599,0
2084,391,0.46730962,0.630682494,0.76353434,1
2084,226,0.75240445,0.047048815,0.76353434,1
6,77,0.7,0.015847418,0.90589585,1
856,343,0.5191896,0.010781858,0.589365668,1
2075,341,0.21999994,0.090544542,0.635999992,0
14,610,0.7885184,0.773910496,0.815414846,0
4769,739,0.19999997,0.009999864,#N/A,0
