,Transportation,Business of Science,Global Change,Physics,Chemistry,Computational Sciences,Information Systems,Agriculture,Biology & Medicine,Engineered Technologies,Mathematics,Energy,Social Sciences,Space Sciences,IEEE Spectrum
1,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
3,0.00019036740909956216,0.3479923,0.00019036740909956216,0.00019036740909956216,0.44899615000000004,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.55,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
4,0.00019036740909956216,0.36638666,0.7467973,0.23499997,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.3058247666666667,0.00019036740909956216,0.4,0.306901,0.2891581,0.59999996
6,0.11000010000000005,0.22999999,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.5699200822222221,0.046416299999999966,0.00019036740909956216,0.815,0.00019036740909956216,0.0782082,0.00019036740909956216
7,0.00019036740909956216,0.059999995,0.4499999,0.2849999876666667,0.00019036740909956216,0.00019036740909956216,0.22000003,0.00019036740909956216,0.35784244000000004,0.30595046000000004,0.00019036740909956216,0.39,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
8,0.03300000000000003,0.09999996,0.32423337333333335,0.07965678,0.00019036740909956216,0.00019036740909956216,0.09999996,0.00019036740909956216,0.015510099999999997,0.75,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.3915,0.00019036740909956216
9,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.1,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
13,0.09000003000000001,0.08,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.10717515,0.00019036740909956216,0.00019036740909956216,0.14,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.11500001500000001,0.00019036740909956216
14,0.24664202,0.15736367599999998,0.50090543,0.18458515388333332,0.5244990101428572,0.009762036,0.19161545533333332,0.029531993,0.029531993,0.23064570006666668,0.00019036740909956216,0.23919494050476192,0.196,0.0103371637,0.97038335
18,0.00019036740909956216,0.48000002,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.5,0.48000002,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
20,0.00019036740909956216,0.1100000005,0.05000009999999999,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.0349999975,0.030000001,0.030000001,0.3400000033333333,0.00019036740909956216,0.02,0.1149999985,0.00019036740909956216,0.00019036740909956216
23,0.00019036740909956216,0.00019036740909956216,0.37892914,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
25,0.00019036740909956216,0.10000001,0.6,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.10000001,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.09999999999999998,0.00019036740909956216
28,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.383155,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216
30,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.44354838,0.39999998,0.00019036740909956216,0.00019036740909956216,0.00019036740909956216,0.39999998,0.00019036740909956216
