,question_id,answeredby,category1,category2
0,728,2696,Business of Science,Social Sciences
1,747,2082,Biology & Medicine,
2,748,1031,Information Systems,
3,803,1008,Energy,Engineered Technologies
4,127,625,Space Sciences,
5,103,590,Social Sciences,
6,375,515,Global Change,
7,374,488,Global Change,
8,672,469,Business of Science,Engineered Technologies
9,447,434,Global Change,
10,401,413,Information Systems,Engineered Technologies
11,454,404,Global Change,
12,386,372,Global Change,
13,102,365,Social Sciences,
14,452,363,Global Change,Energy
15,853,363,Computational Sciences,
16,420,339,Energy,
17,670,332,Engineered Technologies,Space Sciences
18,418,326,Business of Science,
19,128,323,Physics,
20,354,320,Engineered Technologies,Energy
21,341,313,Business of Science,
22,462,306,Mathematics,
23,188,297,Biology & Medicine,Social Sciences
24,687,272,Business of Science,Biology & Medicine
25,410,268,Global Change,
26,674,259,Business of Science,
27,173,255,Energy,
28,702,252,Information Systems,Business of Science
29,338,250,Business of Science,
30,408,246,Global Change,
31,403,242,Mathematics,Energy
32,1083,240,Computational Sciences,Mathematics
33,224,236,Business of Science,Information Systems
34,588,221,Energy,
35,189,221,Biology & Medicine,Social Sciences
36,358,219,Energy,
37,842,218,Information Systems,Engineered Technologies
38,157,215,Business of Science,Social Sciences
39,153,213,Space Sciences,
40,659,212,Business of Science,Biology & Medicine
41,84,211,Biology & Medicine,
42,718,204,Engineered Technologies,Energy
43,584,204,Business of Science,Information Systems
44,372,203,Global Change,
45,649,201,Business of Science,Information Systems
46,1037,200,Biology & Medicine,
47,552,200,Information Systems,
48,360,198,Energy,
49,359,193,Energy,
50,425,192,Business of Science,Information Systems
51,373,192,Global Change,
52,818,191,Global Change,Chemistry
53,624,190,Business of Science,
54,656,188,Biology & Medicine,Engineered Technologies
55,460,187,Mathematics,
56,464,183,Engineered Technologies,
57,343,180,Energy,
58,529,174,Business of Science,IEEE Spectrum
59,12,173,Business of Science,Information Systems
60,229,172,Biology & Medicine,
61,160,171,Engineered Technologies,
62,580,170,Business of Science,Engineered Technologies
63,741,170,Transportation,Engineered Technologies
64,76,169,Biology & Medicine,
65,719,168,Engineered Technologies,Energy
66,145,168,Physics,
67,326,165,Space Sciences,
68,459,163,Business of Science,
69,389,162,Biology & Medicine,
70,129,161,Energy,
71,154,161,Engineered Technologies,
72,404,160,Energy,
